trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,instructions.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,text.started,image_2.started,key_resp_3.started,key_resp_3.keys,text_5.started,polygon.started,text_2.started,text_3.started,image_3.started,image_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_4.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_7.started,encoding_image,encoding_duration,image.started,image.stopped,fixation.started,fixation.stopped,trial_number,correct_position,left.started,right.started,key_resp.started,correct,response,total_trials,correct_responses,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.869324672967196,15.869324672967196,space,2.4208042268874124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
,,,,,,,,18.35162323701661,18.35162323701661,18.35162323701661,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
,,,,,,,,,,,,23.36755435995292,23.36755435995292,28.348490730975755,36.332531925989315,36.332531925989315,36.332531925989315,36.332531925989315,left,4.527385031920858,,,,,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
,,,,,,,,,,,,,,,,,,,,,40.89939819497522,40.89939819497522,space,3.553599964012392,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,44.5083347390173,suspect1.png,0.4,47.0046290489845,47.41268357995432,47.41268357995432,57.4275549929589,0,left,57.4275549929589,57.4275549929589,57.4275549929589,True,left,1,1,left,2.680448144907132,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,60.13127979100682,suspect2.png,1.5,62.63912522303872,64.145415556035,64.145415556035,74.15964034001809,1,left,74.15964034001809,74.15964034001809,74.15964034001809,True,left,2,2,left,1.8083763639442623,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,75.99412103602663,suspect3.png,0.4,78.49378011503723,78.89488824899308,78.89488824899308,88.89946238195989,2,right,88.89946238195989,88.89946238195989,88.89946238195989,False,left,3,2,left,4.669856016989797,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,93.58457337704021,suspect4.png,0.4,96.0970853449544,96.50256369600538,96.50256369600538,106.52916285500396,3,right,106.52916285500396,106.52916285500396,106.52916285500396,True,right,4,3,right,4.251253108959645,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,110.80637542298064,suspect5.png,0.4,113.32004360796418,113.72758812597021,113.72758812597021,123.7388928369619,4,right,123.7388928369619,123.7388928369619,123.7388928369619,True,right,5,4,right,1.6221078939270228,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,125.37704194698017,suspect6.png,1.5,127.90427993203048,129.40985838905908,129.40985838905908,139.42310494196136,5,right,139.42310494196136,139.42310494196136,139.42310494196136,True,right,6,5,right,1.859978099935688,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,141.30278381495737,suspect7.png,1.5,143.80918773298617,145.310072096996,145.310072096996,155.32075778197031,6,left,155.32075778197031,155.32075778197031,155.32075778197031,True,left,7,6,left,3.6253308679442853,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,158.96615449001547,suspect8.png,1.5,161.47634050704073,162.9768963670358,162.9768963670358,172.9894393470604,7,right,172.9894393470604,172.9894393470604,172.9894393470604,True,right,8,7,right,3.037660863948986,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,176.04890517995227,suspect9.png,1.5,178.55263349902816,180.05908856994938,180.05908856994938,190.07213705196045,8,left,190.07213705196045,190.07213705196045,190.07213705196045,True,left,9,8,left,5.271892162971199,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,195.3663290940458,suspect10.png,0.4,197.87774006195832,198.28407345397864,198.28407345397864,208.30044516304042,9,left,208.30044516304042,208.30044516304042,208.30044516304042,True,left,10,9,left,2.5355025929166004,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,210.8502246310236,suspect11.png,1.5,213.37139466498047,214.87451256101485,214.87451256101485,224.88272272399627,10,left,224.88272272399627,224.88272272399627,224.88272272399627,True,left,11,10,left,3.005504427012056,cody,001,2024-11-22_07h51.22.540,eyewitness,2022.2.1,119.01001896590799,
,,,,,,,,,,,,,,,,,,,,,,,,,227.90736599697266,suspect12.png,0.4,230.4171093860641,230.82449540204834,230.82449540204834,,,,,,,,,,,,,,,,,,,
